state,total_updates,maturity_ratio,growth_rate,DSI,risk_level
Bihar,4814350,11.67,20.086443567980798,0.6483460929022887,WARNING
Uttar Pradesh,8542328,9.81,0.5288140579079608,0.5993425587238026,WARNING
Maharashtra,5054602,17.49,0.4798443900358562,0.30665486872311615,STABLE
Madhya Pradesh,2912938,6.15,0.09510552091409932,0.3052979991801481,STABLE
Tamil Nadu,2212228,6.01,1.8395136582219165,0.29161529585998824,STABLE
Jharkhand,1401189,13.09,10.100408249173457,0.28503285507722376,STABLE
Andhra Pradesh,2295582,6.15,0.4441360911369537,0.2743111570843505,STABLE
West Bengal,3872318,14.96,0.7140491709096323,0.2698387443867132,STABLE
Rajasthan,2817615,9.95,0.2113625553822243,0.25797996135208245,STABLE
Odisha,1083307,6.43,4.147517374342042,0.25477801428013636,STABLE
Karnataka,1695285,5.4,0.22275408005757075,0.24448544027903232,STABLE
Telangana,1629908,5.73,0.34557275732618586,0.2386968059396288,STABLE
Gujarat,1824327,7.75,0.35404440680968713,0.22710259415932926,STABLE
Himachal Pradesh,149214,6.65,5.315332165166149,0.2148134167318323,STABLE
West Bengli,3,0.03,0.5,0.21075305554419793,STABLE
Delhi,1438934,7.19,0.06962381821027634,0.2067531477715715,STABLE
Raja Annamalai Puram,1,0.01,0.0,0.2036065382416081,STABLE
Puttenahalli,1,0.01,0.0,0.2036065382416081,STABLE
Nagpur,1,0.01,0.0,0.2036065382416081,STABLE
Balanagar,2,0.02,0.0,0.20349224571591437,STABLE
Madanapalle,2,0.02,0.0,0.20349224571591437,STABLE
100000,2,0.02,0.0,0.20349224571591437,STABLE
Darbhanga,2,0.02,0.0,0.20349224571591437,STABLE
Jaipur,2,0.02,0.0,0.20349224571591437,STABLE
Chhatisgarh,4,0.04,0.0,0.20326366066452695,STABLE
Uttaranchal,5,0.05,0.0,0.2031493681388332,STABLE
Chhattisgarh,2005434,11.13,0.5656737138608788,0.20217407686555627,STABLE
Westbengal,152,1.52,0.6929426705370102,0.19656941310315298,STABLE
West Bangal,157,1.47,0.5162710852366025,0.1945355190028973,STABLE
West  Bengal,107,0.95,-0.003178368121442121,0.19281686163061199,STABLE
Dadra & Nagar Haveli,235,1.54,0.21329080276448698,0.1892706059099062,STABLE
Haryana,1166140,7.37,0.041975139006915976,0.1883198120358569,STABLE
Assam,1012578,10.97,2.526176900827148,0.17480761656117866,STABLE
Ladakh,5735,2.96,0.3049785001573578,0.17470709431010278,STABLE
Jammu & Kashmir,426,3.28,0.30942127650591605,0.17080264565046693,STABLE
Dadra And Nagar Haveli,6033,3.35,0.27126445047411113,0.16976755647555675,STABLE
Daman And Diu,1552,3.95,0.349624640617872,0.16380003972430415,STABLE
Lakshadweep,1176,3.73,0.17551190302883976,0.16372555642090628,STABLE
Jammu And Kashmir,406776,6.02,0.13133025820636868,0.16062807681415237,STABLE
Puducherry,25304,5.06,0.7084661537144151,0.15779031142633473,STABLE
Manipur,301549,6.26,0.5024356896058438,0.15719838010991988,STABLE
Daman & Diu,644,4.28,0.13699702473666256,0.1568370068532016,STABLE
Mizoram,41906,6.78,1.6245909319758574,0.1526067066643458,STABLE
Chandigarh,83361,5.31,0.1078624188774421,0.1494707023788212,STABLE
Arunachal Pradesh,36443,5.21,0.036011185649462936,0.1468081856688611,STABLE
Uttarakhand,463637,8.27,0.13369409800880788,0.13826214703931772,STABLE
Kerala,744952,11.18,0.2351718255922553,0.122948751136483,STABLE
Nagaland,36791,7.36,-0.0819523473397107,0.1205030911481691,STABLE
Andaman And Nicobar Islands,6187,7.93,0.30029277618571826,0.11783195971012381,STABLE
Dadra And Nagar Haveli And Daman And Diu,3740,8.46,0.17795226473015374,0.10982357812641759,STABLE
Andaman & Nicobar Islands,1059,9.26,0.5006166168589332,0.1052779343169068,STABLE
Goa,35120,9.44,0.1340183616831916,0.09980587624424964,STABLE
Meghalaya,87378,9.26,-0.2522562120982127,0.09922533430174439,STABLE
Pondicherry,7459,9.69,0.145994084632425,0.09550468903214607,STABLE
Punjab,881895,14.48,0.23204795394799171,0.0931823793439419,STABLE
Tripura,138013,10.61,0.10372511593099548,0.0920025094983751,STABLE
Sikkim,20340,11.35,0.08703408983272357,0.07640669283509292,STABLE
Orissa,28758,13.78,0.13515597886811567,0.049821916343553686,STABLE
