state,growth,size_millions
100000,0.0,2e-06
Andaman & Nicobar Islands,0.5006166168589332,0.001059
Andaman And Nicobar Islands,0.30029277618571826,0.006187
Andhra Pradesh,0.4441360911369537,2.295582
Arunachal Pradesh,0.036011185649462936,0.036443
Assam,2.526176900827148,1.012578
Balanagar,0.0,2e-06
Bihar,20.086443567980798,4.81435
Chandigarh,0.1078624188774421,0.083361
Chhatisgarh,0.0,4e-06
Chhattisgarh,0.5656737138608788,2.005434
Dadra & Nagar Haveli,0.21329080276448698,0.000235
Dadra And Nagar Haveli,0.27126445047411113,0.006033
Dadra And Nagar Haveli And Daman And Diu,0.17795226473015374,0.00374
Daman & Diu,0.13699702473666256,0.000644
Daman And Diu,0.349624640617872,0.001552
Darbhanga,0.0,2e-06
Delhi,0.06962381821027634,1.438934
Goa,0.1340183616831916,0.03512
Gujarat,0.35404440680968713,1.824327
Haryana,0.041975139006915976,1.16614
Himachal Pradesh,5.315332165166149,0.149214
Jaipur,0.0,2e-06
Jammu & Kashmir,0.30942127650591605,0.000426
Jammu And Kashmir,0.13133025820636868,0.406776
Jharkhand,10.100408249173457,1.401189
Karnataka,0.22275408005757075,1.695285
Kerala,0.2351718255922553,0.744952
Ladakh,0.3049785001573578,0.005735
Lakshadweep,0.17551190302883976,0.001176
Madanapalle,0.0,2e-06
Madhya Pradesh,0.09510552091409932,2.912938
Maharashtra,0.4798443900358562,5.054602
Manipur,0.5024356896058438,0.301549
Meghalaya,-0.2522562120982127,0.087378
Mizoram,1.6245909319758574,0.041906
Nagaland,-0.0819523473397107,0.036791
Nagpur,0.0,1e-06
Odisha,4.147517374342042,1.083307
Orissa,0.13515597886811567,0.028758
Pondicherry,0.145994084632425,0.007459
Puducherry,0.7084661537144151,0.025304
Punjab,0.23204795394799171,0.881895
Puttenahalli,0.0,1e-06
Raja Annamalai Puram,0.0,1e-06
Rajasthan,0.2113625553822243,2.817615
Sikkim,0.08703408983272357,0.02034
Tamil Nadu,1.8395136582219165,2.212228
Telangana,0.34557275732618586,1.629908
Tripura,0.10372511593099548,0.138013
Uttar Pradesh,0.5288140579079608,8.542328
Uttarakhand,0.13369409800880788,0.463637
Uttaranchal,0.0,5e-06
West  Bengal,-0.003178368121442121,0.000107
West Bangal,0.5162710852366025,0.000157
West Bengal,0.7140491709096323,3.872318
West Bengli,0.5,3e-06
Westbengal,0.6929426705370102,0.000152
